"STNDR_DAYHMINSEC","MSNT_GPS_LAT","MSNT_GPS_LONG","CCTV_LOCA_EXPLN","PM25_CTRN_MM3","PM10_CTRN_MM3","NO2_CTRN_PPM","O3_CTRN_PPM","CO_CTRN_PPM","SO2_CTRN_PPM","RRGMNT_WGS84_LAT","RRGMNT_WGS84_LONG","RRGMNT_UTMK_Y_CRDNT","RRGMNT_UTMK_X_CRDNT","RRGMNT_1ST_TLLBADD","RRGMNT_2ND_TLLBADD","RRGMNT_3RD_TLLBADD"
"20251106052002","35.182542","128.125233","남강제지 앞","6.0","9.0","0.014","0.022","2.293","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106050302","35.182542","128.125233","남강제지 앞","6.0","9.0","0.015","0.022","3.408","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106032601","35.182542","128.125233","남강제지 앞","5.0","8.0","0.016","0.022","3.945","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106060602","35.182542","128.125233","남강제지 앞","7.0","11.0","0.014","0.022","1.386","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106034902","35.182542","128.125233","남강제지 앞","5.0","8.0","0.017","0.022","3.441","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106062202","35.182542","128.125233","남강제지 앞","6.0","10.0","0.013","0.022","1.431","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106060802","35.182542","128.125233","남강제지 앞","7.0","12.0","0.013","0.022","1.345","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106063202","35.182542","128.125233","남강제지 앞","8.0","13.0","0.013","0.022","1.297","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106042502","35.182542","128.125233","남강제지 앞","5.0","8.0","0.016","0.022","3.043","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106031902","35.182542","128.125233","남강제지 앞","5.0","8.0","0.018","0.022","3.482","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106063002","35.182542","128.125233","남강제지 앞","6.0","10.0","0.013","0.022","1.359","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106025402","35.182542","128.125233","남강제지 앞","6.0","10.0","0.02","0.022","4.131","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106061202","35.182542","128.125233","남강제지 앞","7.0","12.0","0.014","0.022","1.276","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106032802","35.182542","128.125233","남강제지 앞","6.0","10.0","0.017","0.022","4.219","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
